case,variant,wall_median_us,wall_p95_us,total_nmse,arithmetic,quant
maple-gate-up-q1-s1,native-w2a16,479.4,493.2,4.295373262e-08,PASS,PASS
maple-gate-up-q1-s1,native-w2a8-g32-staged,431.4,438.6,3.00961808e-05,PASS,PASS
maple-gate-up-q1-s1,native-w2a8-g32-fused,487.3,503.3,3.00961808e-05,PASS,PASS
maple-gate-up-q1-s1,native-w2a8-g128-staged,359.9,383.2,3.884880988e-05,PASS,PASS
maple-gate-up-q1-s1,native-w2a8-g128-fused,400.6,413.7,3.884880988e-05,PASS,PASS
maple-gate-up-q1-s1,native-w2a8-g256-staged,430.2,440.9,4.181139745e-05,PASS,PASS
maple-gate-up-q1-s1,native-w2a8-g256-fused,484.2,499.9,4.181139745e-05,PASS,PASS
maple-gate-up-q1-s1,s2tile8-w2a16,328.4,347.9,4.295373262e-08,PASS,PASS
maple-gate-up-q1-s1,s2tile8-w2a8-g32-staged,228.6,241.6,3.00961808e-05,PASS,PASS
maple-gate-up-q1-s1,s2tile8-w2a8-g32-fused,262.8,282.3,3.00961808e-05,PASS,PASS
maple-gate-up-q1-s1,s2tile8-w2a8-g128-staged,228.8,240.2,3.884880988e-05,PASS,PASS
maple-gate-up-q1-s1,s2tile8-w2a8-g128-fused,248.6,260.7,3.884880988e-05,PASS,PASS
maple-gate-up-q1-s1,s2tile8-w2a8-g256-staged,231.8,244.2,4.181139745e-05,PASS,PASS
maple-gate-up-q1-s1,s2tile8-w2a8-g256-fused,243.5,263.1,4.181139745e-05,PASS,PASS
maple-down-q1-s1,native-w2a16,273.0,296.0,4.401903066e-08,PASS,PASS
maple-down-q1-s1,native-w2a8-g32-staged,240.0,247.3,2.968356653e-05,PASS,PASS
maple-down-q1-s1,native-w2a8-g32-fused,270.1,285.2,2.968356653e-05,PASS,PASS
maple-down-q1-s1,native-w2a8-g128-staged,222.8,234.6,4.100039041e-05,PASS,PASS
maple-down-q1-s1,native-w2a8-g128-fused,238.7,249.8,4.100039041e-05,PASS,PASS
maple-down-q1-s1,native-w2a8-g256-staged,236.2,254.3,4.24010548e-05,PASS,PASS
maple-down-q1-s1,native-w2a8-g256-fused,264.7,280.6,4.24010548e-05,PASS,PASS
maple-down-q1-s1,s2tile8-w2a16,225.2,243.4,4.401903066e-08,PASS,PASS
maple-down-q1-s1,s2tile8-w2a8-g32-staged,200.2,217.4,2.968356653e-05,PASS,PASS
maple-down-q1-s1,s2tile8-w2a8-g32-fused,217.7,234.0,2.968356653e-05,PASS,PASS
maple-down-q1-s1,s2tile8-w2a8-g128-staged,197.7,211.4,4.100039041e-05,PASS,PASS
maple-down-q1-s1,s2tile8-w2a8-g128-fused,204.5,218.3,4.100039041e-05,PASS,PASS
maple-down-q1-s1,s2tile8-w2a8-g256-staged,197.6,215.7,4.24010548e-05,PASS,PASS
maple-down-q1-s1,s2tile8-w2a8-g256-fused,207.7,224.9,4.24010548e-05,PASS,PASS
