kernel,quant,batch,dim_m,dim_n,dim_k,layout,throughput_tps,latency_us,bandwidth_gbps,xmx_util_pct,variance_pct,regime,tier,is_winner,source_file
mmvq_soa,Q6_K,32,4096,4096,4096,SOA,17528.190369,1825.63056,7.906476,0.0,9.02,transitional,-1,False,mmvq_q6k_soa_b32_dim4096.jsonl
mmvq_soa,Q6_K,32,4096,4096,4096,SOA,16771.702247,1907.97568,7.565245,0.0,8.95,transitional,-1,False,mmvq_q6k_soa_b32_dim4096_grf128.jsonl
mmvq_soa,Q6_K,32,4096,4096,4096,SOA,15129.263672,2115.10624,6.824387,0.0,7.88,transitional,-1,False,mmvq_q6k_soa_b32_dim4096_grf256.jsonl
mmvq_aos_baseline,Q4_0,1,2048,2048,2048,AOS,34838.350056,28.704,82.559643,0.0,18.57,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q4_0,1,2048,2048,2048,SOA,119371.627752,8.3772,282.885928,0.0,19.67,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_coalesced,Q4_0,1,2048,2048,2048,COALESCED,168543.113328,5.9332,399.412122,0.0,19.97,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_slm_cached,Q4_0,1,2048,2048,2048,AOS,31619.153618,31.6264,74.930817,0.0,17.21,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q4_0,1,2048,2048,2048,AOS,19317.698876,51.766,45.778928,0.0,16.61,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q4_0,1,2048,2048,2048,AOS,23877.289832,41.8808,56.58421,0.0,17.4,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q8_0,1,2048,2048,2048,AOS,18866.64302,53.0036,84.276238,0.0,20.3,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q8_0,1,2048,2048,2048,SOA,90242.933978,11.0812,403.110132,0.0,19.34,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_coalesced,Q8_0,1,2048,2048,2048,COALESCED,143086.080586,6.9888,639.157509,0.0,21.06,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_slm_cached,Q8_0,1,2048,2048,2048,AOS,17436.5484,57.3508,77.888085,0.0,19.0,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q8_0,1,2048,2048,2048,AOS,11341.571851,88.1712,50.662166,0.0,15.7,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q8_0,1,2048,2048,2048,AOS,14440.766862,69.2484,64.506097,0.0,16.76,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q6_K,1,2048,2048,2048,AOS,19411.294267,51.5164,66.991016,0.0,17.11,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q6_K,1,2048,2048,2048,SOA,40820.991787,24.4972,140.878794,0.0,16.7,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_coalesced,Q6_K,1,2048,2048,2048,COALESCED,12670.160252,78.9256,43.726446,0.0,17.99,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_slm_cached,Q6_K,1,2048,2048,2048,AOS,10466.864002,95.5396,36.122571,0.0,9.57,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q6_K,1,2048,2048,2048,AOS,11576.432236,86.3824,39.951842,0.0,13.92,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q6_K,1,2048,2048,2048,AOS,13967.728959,71.5936,48.204532,0.0,13.76,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q4_0,2,2048,2048,2048,AOS,37211.240772,53.7472,44.286735,0.0,3.71,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q4_0,2,2048,2048,2048,SOA,130732.625634,15.2984,155.59065,0.0,4.0,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_coalesced,Q4_0,2,2048,2048,2048,COALESCED,182368.603421,10.9668,217.044899,0.0,4.67,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_slm_cached,Q4_0,2,2048,2048,2048,AOS,33649.639949,59.436,40.047917,0.0,3.15,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q4_0,2,2048,2048,2048,AOS,20463.707615,97.734,24.354759,0.0,2.83,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q4_0,2,2048,2048,2048,AOS,25240.542369,79.2376,30.03988,0.0,3.52,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q8_0,2,2048,2048,2048,AOS,20411.579081,97.9836,45.69581,0.0,5.03,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q8_0,2,2048,2048,2048,SOA,98316.816108,20.3424,220.103823,0.0,4.3,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_coalesced,Q8_0,2,2048,2048,2048,COALESCED,160859.633883,12.4332,360.11968,0.0,4.07,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_slm_cached,Q8_0,2,2048,2048,2048,AOS,18870.345629,105.9864,42.24542,0.0,2.92,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q8_0,2,2048,2048,2048,AOS,12126.474276,164.9284,27.14778,0.0,3.55,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q8_0,2,2048,2048,2048,AOS,15328.818485,130.4732,34.316933,0.0,3.51,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q6_K,2,2048,2048,2048,AOS,20791.144636,96.1948,35.985646,0.0,6.62,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q6_K,2,2048,2048,2048,SOA,46529.806994,42.9832,80.534534,0.0,4.48,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_coalesced,Q6_K,2,2048,2048,2048,COALESCED,16190.923368,123.526,28.023509,0.0,8.28,memory_bound,1,False,mmvq_tier1.jsonl
